subjectID	runtrial	onsettime	Name	Bid	RT	StimType	StimTypeInd
bmem_short_101	1	1.25E-01	Tortit.bmp	5.04E-01	5.07E+00	Snacks	1
bmem_short_101	2	5.56E+00	Ritter_sport.jpg	2.00E+00	3.64E+00	Snacks	1
bmem_short_101	3	9.64E+00	Kifkef.bmp	2.50E+00	4.66E+00	Snacks	1
bmem_short_101	4	1.47E+01	Mentos.bmp	3.00E+00	5.61E+00	Snacks	1
bmem_short_101	5	2.07E+01	Tortilla_shum_bazal.jpg	2.93E+00	4.66E+00	Snacks	1
bmem_short_101	6	2.58E+01	Slimdelis.jpg	2.97E+00	3.14E+00	Snacks	1
bmem_short_101	7	2.94E+01	Tapuchips.bmp	7.98E-02	2.97E+00	Snacks	1
bmem_short_101	8	3.28E+01	Taami.bmp	1.21E-01	2.70E+00	Snacks	1
bmem_short_101	9	3.60E+01	Etzbaot_milk.jpg	2.42E-01	3.77E+00	Snacks	1
bmem_short_101	10	4.01E+01	Bounty.bmp	2.54E+00	4.09E+00	Snacks	1
bmem_short_101	11	4.46E+01	BisliOnion.bmp	1.46E-01	5.16E+00	Snacks	1
bmem_short_101	12	5.02E+01	Reeses.jpg	9.54E-01	4.17E+00	Snacks	1
bmem_short_101	13	5.48E+01	Cheetos.bmp	1.03E+00	8.03E+00	Snacks	1
bmem_short_101	14	6.32E+01	Pringles.bmp	7.43E-02	2.60E+00	Snacks	1
bmem_short_101	15	6.62E+01	ClickXLwhite.bmp	5.67E-02	2.77E+00	Snacks	1
bmem_short_101	16	6.94E+01	HispusimShatiah.bmp	7.23E-02	2.62E+00	Snacks	1
bmem_short_101	17	7.24E+01	Happy_swing.jpg	1.74E-01	8.81E+00	Snacks	1
bmem_short_101	18	8.17E+01	Bazooka.bmp	1.31E-01	2.97E+00	Snacks	1
bmem_short_101	19	8.51E+01	ChocolateParaSucariotKoftzot.bmp	2.39E-01	4.10E+00	Snacks	1
bmem_short_101	20	8.96E+01	bagaleShminiot.bmp	1.10E-01	5.51E+00	Snacks	1
bmem_short_101	21	9.55E+01	Apropo.bmp	2.28E-01	5.26E+00	Snacks	1
bmem_short_101	22	1.01E+02	BabyDoll.bmp	2.89E-01	5.21E+00	Snacks	1
bmem_short_101	23	1.07E+02	Mishmish.jpg	5.06E+00	7.81E+00	Snacks	1
bmem_short_101	24	1.15E+02	Hit_brown.jpg	2.75E-01	5.69E+00	Snacks	1
