subjectID	runtrial	onsettime	Name	Bid	RT	StimType	StimTypeInd
bmem_short_131	1	6.86E-02	Milka_oreo.jpg	7.00E+00	5.54E+00	Snacks	1
bmem_short_131	2	6.04E+00	KinderBuenoBrown.bmp	5.04E+00	2.87E+00	Snacks	1
bmem_short_131	3	9.33E+00	Twix.bmp	5.06E+00	4.55E+00	Snacks	1
bmem_short_131	4	1.43E+01	Manamim_waffle_vanilla.jpg	3.04E+00	5.74E+00	Snacks	1
bmem_short_131	5	2.04E+01	Energy_prihiot_chocolate.jpg	3.03E+00	3.92E+00	Snacks	1
bmem_short_131	6	2.47E+01	Bounty.bmp	2.03E+00	3.12E+00	Snacks	1
bmem_short_131	7	2.82E+01	ChocolateParaNuts.bmp	3.06E+00	2.62E+00	Snacks	1
bmem_short_131	8	3.13E+01	Chocolas.jpg	5.03E+00	5.57E+00	Snacks	1
bmem_short_131	9	3.72E+01	Hit_brown.jpg	5.02E+00	3.65E+00	Snacks	1
bmem_short_131	10	4.13E+01	Slimdelis.jpg	5.03E+00	4.51E+00	Snacks	1
bmem_short_131	11	4.62E+01	PesekZman.bmp	7.01E+00	3.02E+00	Snacks	1
bmem_short_131	12	4.96E+01	LentilsChocolate.bmp	5.01E+00	2.17E+00	Snacks	1
bmem_short_131	13	5.21E+01	Must_petel_limon.jpg	4.00E+00	2.64E+00	Snacks	1
bmem_short_131	14	5.52E+01	CrunchShokoVanil.bmp	4.04E+00	2.52E+00	Snacks	1
bmem_short_131	15	5.81E+01	Nutella_go.jpg	6.99E+00	3.25E+00	Snacks	1
bmem_short_131	16	6.17E+01	BisliPizza.bmp	5.05E+00	2.82E+00	Snacks	1
bmem_short_131	17	6.49E+01	Corny_banana.jpg	4.93E+00	5.07E+00	Snacks	1
bmem_short_131	18	7.04E+01	Click_toffee.jpg	6.00E+00	5.61E+00	Snacks	1
bmem_short_131	19	7.64E+01	GumiSnakes.bmp	5.00E+00	6.07E+00	Snacks	1
bmem_short_131	20	8.28E+01	KinderJoy.bmp	7.05E+00	5.81E+00	Snacks	1
bmem_short_131	21	8.91E+01	ClickBlackWhite.bmp	4.98E+00	2.62E+00	Snacks	1
bmem_short_131	22	9.21E+01	Apropo.bmp	5.01E+00	2.60E+00	Snacks	1
bmem_short_131	23	9.50E+01	Tortilla_shum_bazal.jpg	5.06E+00	3.05E+00	Snacks	1
bmem_short_131	24	9.85E+01	Bazooka.bmp	4.06E+00	4.10E+00	Snacks	1
